R	G	B	mA
0	0	0	0.516892578125
0	0	1	0.5528466796875
0	0	3	0.6228789062500001
0	0	7	0.7623876953125001
0	0	15	1.04309765625
0	0	31	1.6014111328125
0	0	63	2.71633984375
0	0	127	4.945033203125001
0	1	0	0.5528984375
0	1	1	0.5877509765625001
0	1	3	0.657525390625
0	1	7	0.7974335937500001
0	1	15	1.078158203125
0	1	31	1.6357802734375002
0	1	63	2.7507880859375002
0	1	127	4.979878906250001
0	3	0	0.6229091796875
0	3	1	0.6584609375
0	3	3	0.7295117187500001
0	3	7	0.867708984375
0	3	15	1.14777734375
0	3	31	1.7061289062500002
0	3	63	2.8231445312500005
0	3	127	5.0507919921875
0	7	0	0.7630332031250001
0	7	1	0.7998876953125
0	7	3	0.86875390625
0	7	7	1.0094892578125
0	7	15	1.287185546875
0	7	31	1.8458369140625002
0	7	63	2.962380859375
0	7	127	5.1910478515625
0	15	0	1.0452343750000002
0	15	1	1.0811152343750001
0	15	3	1.151591796875
0	15	7	1.290505859375
0	15	15	1.5690390625000001
0	15	31	2.127771484375
0	15	63	3.2423242187500003
0	15	127	5.470210937500001
0	31	0	1.6073046875000003
0	31	1	1.6453750000000003
0	31	3	1.7132402343750002
0	31	7	1.8531132812500002
