R	G	B	mA
1	1	3	0.6948291015625
1	1	7	0.8340771484375
1	1	15	1.113625
1	1	31	1.67108203125
1	1	63	2.7846933593750003
1	1	127	5.0114160156250005
1	1	255	9.409642578125
1	3	0	0.6594599609375
1	3	1	0.6956376953125001
1	3	3	0.7642705078125
1	3	7	0.9054658203125001
1	3	15	1.1836845703125
1	3	31	1.7418076171875
1	3	63	2.8564580078125
1	3	127	5.0819160156250005
1	3	255	9.409767578125
1	7	0	0.7999365234375
1	7	1	0.835986328125
1	7	3	0.9051884765625001
1	7	7	1.0453652343750002
1	7	15	1.324216796875
1	7	31	1.8829423828125003
1	7	63	2.9969619140625
1	7	127	5.2226318359375
1	7	255	9.40553515625
1	15	0	1.0799296875000002
1	15	1	1.1166923828125
1	15	3	1.1869794921875
1	15	7	1.3268388671875002
1	15	15	1.6060087890625003
1	15	31	2.162666015625
1	15	63	3.2772509765625
1	15	127	5.50273046875
1	15	255	9.397201171875
1	31	0	1.6421337890625
1	31	1	1.6798037109375001
1	31	3	1.7492968750000002
1	31	7	1.891052734375
1	31	15	2.1677646484375
1	31	31	2.7254892578125003
1	31	63	3.84010546875
1	31	127	6.061505859375001
1	31	255	9.379749023437501
1	63	0	2.7660556640625003
1	63	1	2.8026005859375003
1	63	3	2.8713378906250004
1	63	7	3.0111474609375
1	63	15	3.2905195312500006
1	63	31	3.84680859375
1	63	63	4.958246093750001
1	63	127	7.178087890625001
1	63	255	9.3434541015625
1	127	0	5.004306640625001
1	127	1	5.0057607421875
1	127	3	5.003501953125
1	127	7	4.9988251953125005
1	127	15	4.9868388671875
1	127	31	4.9648662109375
1	127	63	4.9220126953125005
1	127	127	7.145538085937501
1	127	255	9.2767705078125
1	255	0	9.467752929687501
1	255	1	9.46182421875
1	255	3	9.458653320312502
1	255	7	9.4527177734375
1	255	15	9.441560546875
1	255	31	9.422446289062501
1	255	63	9.3814521484375
1	255	127	9.301600585937502
1	255	255	9.139640625000002
3	0	0	0.6249306640625001
3	0	1	0.6610947265625
3	0	3	0.7311640625000001
3	0	7	0.8711494140625001
3	0	15	1.1484042968750001
3	0	31	1.7075234375000001
3	0	63	2.82195703125
3	0	127	5.045197265625001
3	0	255	9.405844726562501
3	1	0	0.6612109375
3	1	1	0.6963193359375001
3	1	3	0.7666992187500001
3	1	7	0.9055419921875
3	1	15	1.1848115234375
3	1	31	1.7427333984375
3	1	63	2.8566884765625002
3	1	127	5.0821279296875
3	1	255	9.4071572265625
3	3	0	0.7319052734375001
3	3	1	0.7664873046875
3	3	3	0.8368769531250001
3	3	7	0.9760947265625001
3	3	15	1.255537109375
3	3	31	1.8122587890625002
3	3	63	2.9267656250000003
3	3	127	5.15320703125
3	3	255	9.4067861328125
3	7	0	0.8720322265625
3	7	1	0.9072011718750002
3	7	3	0.97782421875
3	7	7	1.1173544921875
3	7	15	1.3974560546875001
3	7	31	1.95284765625
3	7	63	3.0681035156250003
3	7	127	5.293086914062501
3	7	255	9.400306640625
3	15	0	1.1531542968750002
3	15	1	1.1877900390625
3	15	3	1.2592910156250001
3	15	7	1.3986181640625
3	15	15	1.6764746093750003
3	15	31	2.2343369140625002
3	15	63	3.3475458984375
3	15	127	5.572503906250001
3	15	255	9.393128906250002
3	31	0	1.7133046875000002
3	31	1	1.7518134765625
3	31	3	1.8208408203125
3	31	7	1.9603769531250002
3	31	15	2.2399531250000004
3	31	31	2.7962880859375003
3	31	63	3.9121240234375003
3	31	127	6.130941406250001
3	31	255	9.375782226562501
3	63	0	2.8353759765625
3	63	1	2.8741318359375
3	63	3	2.943076171875
3	63	7	3.0825244140625
3	63	15	3.3599482421875004
3	63	31	3.9167841796875003
3	63	63	5.028916992187501
3	63	127	7.247521484375001
3	63	255	9.339808593750002
3	127	0	5.0758603515625005
3	127	1	5.0761699218750005
3	127	3	5.073590820312501
3	127	7	5.068790039062501
3	127	15	5.057583984375
3	127	31	5.0363007812500005
3	127	63	4.993001953125001
3	127	127	7.215322265625001
3	127	255	9.275927734375
3	255	0	9.4650390625
3	255	1	9.460297851562501
3	255	3	9.45671875
3	255	7	9.4502734375
3	255	15	9.4396728515625
3	255	31	9.4203935546875
3	255	63	9.379583984375
3	255	127	9.29978125
3	255	255	9.1394931640625
7	0	0	0.7682353515625
7	0	1	0.8046728515625
7	0	3	0.874951171875
7	0	7	1.0145732421875002
7	0	15	1.2926582031250002
7	0	31	1.8507119140625001
7	0	63	2.964669921875
7	0	127	5.1874804687500005
7	0	255	9.398243164062501
7	1	0	0.804697265625
7	1	1	0.8404521484375002
7	1	3	0.9108818359375
7	1	7	1.0492070312500001
7	1	15	1.328037109375
7	1	31	1.8847431640625
7	1	63	3.0005048828125003
7	1	127	5.224468750000001
7	1	255	9.4023916015625
7	3	0	0.8751982421875001
7	3	1	0.9113212890625
7	3	3	0.9814384765625
7	3	7	1.1209931640625002
7	3	15	1.400060546875
7	3	31	1.9557783203125
7	3	63	3.0699921875
7	3	127	5.2941103515625
7	3	255	9.400030273437501
7	7	0	1.0130673828125
7	7	1	1.0513544921875
7	7	3	1.1202226562500002
7	7	7	1.2624970703125
7	7	15	1.5402880859375
7	7	31	2.0972177734375004
7	7	63	3.2109355468750005
7	7	127	5.4364257812500005
7	7	255	9.3984150390625
7	15	0	1.2965703125
7	15	1	1.333982421875
7	15	3	1.402794921875
7	15	7	1.542796875
7	15	15	1.8209638671875001
7	15	31	2.37908984375
7	15	63	3.4919765625000005
7	15	127	5.716204101562501
7	15	255	9.3902060546875
7	31	0	1.8585673828125002
7	31	1	1.8942333984375002
7	31	3	1.964861328125
7	31	7	2.1038398437500003
7	31	15	2.384072265625
7	31	31	2.9378261718750003
7	31	63	4.052715820312501
7	31	127	6.274304687500001
7	31	255	9.371263671875
7	63	0	2.9806621093750003
7	63	1	3.0181962890625003
7	63	3	3.0874697265625004
7	63	7	3.2270908203125
7	63	15	3.5049501953125004
7	63	31	4.060890625000001
7	63	63	5.171591796875001
7	63	127	7.3896044921875
7	63	255	9.3378681640625
7	127	0	5.218152343750001
7	127	1	5.2192109375
7	127	3	5.2166806640625
7	127	7	5.2112734375
7	127	15	5.2018955078125
7	127	31	5.1800927734375
7	127	63	5.136787109375001
7	127	127	7.357775390625001
7	127	255	9.26962890625
7	255	0	9.460035156250001
7	255	1	9.45495703125
7	255	3	9.450244140625001
7	255	7	9.443693359375
7	255	15	9.4324296875
7	255	31	9.4145771484375
7	255	63	9.3739482421875
7	255	127	9.293564453125
7	255	255	9.1373486328125
15	0	0	1.055888671875
15	0	1	1.0921259765625
15	0	3	1.1620292968750001
15	0	7	1.3022011718750002
15	0	15	1.5791259765625
15	0	31	2.1366689453125
15	0	63	3.25033203125
15	0	127	5.4708818359375
15	0	255	9.390290039062501
15	1	0	1.091232421875
15	1	1	1.128841796875
15	1	3	1.1971337890625002
15	1	7	1.3391337890625001
15	1	15	1.6176181640625
15	1	31	2.1737773437500003
15	1	63	3.2845849609375
15	1	127	5.50912890625
15	1	255	9.3913857421875
15	3	0	1.1618574218750002
15	3	1	1.1997861328125001
15	3	3	1.2672539062500001
15	3	7	1.4076171875
15	3	15	1.6871464843750001
15	3	31	2.24519140625
15	3	63	3.3573974609375
15	3	127	5.581759765625
15	3	255	9.392021484375
15	7	0	1.3040556640625
15	7	1	1.3388740234375
15	7	3	1.4100185546875001
15	7	7	1.5477265625
15	7	15	1.8281044921875
15	7	31	2.38477734375
15	7	63	3.4985732421874998
15	7	127	5.72005078125
15	7	255	9.387459960937502
15	15	0	1.5829726562500002
15	15	1	1.6209970703125003
15	15	3	1.6907705078125002
15	15	7	1.8279833984375002
15	15	15	2.1074150390625
15	15	31	2.6654443359375
15	15	63	3.778163085937501
15	15	127	6.000287109375
15	15	255	9.38058984375
15	31	0	2.1447958984375
15	31	1	2.1822128906250002
15	31	3	2.2515302734375
15	31	7	2.3918232421875
15	31	15	2.6711416015625002
15	31	31	3.2280156250000003
15	31	63	4.338498046875
15	31	127	6.55947265625
15	31	255	9.363154296875
15	63	0	3.2658056640625004
15	63	1	3.3041972656250005
15	63	3	3.3728408203124998
15	63	7	3.5137421875
15	63	15	3.7914873046875
15	63	31	4.3468505859375
15	63	63	5.4562792968750005
15	63	127	7.673917968750001
15	63	255	9.327869140625001
15	127	0	5.504551757812501
15	127	1	5.505506835937501
15	127	3	5.5021562500000005
15	127	7	5.497936523437501
15	127	15	5.487513671875001
15	127	31	5.466279296875
15	127	63	5.422431640625001
15	127	127	7.642500000000001
15	127	255	9.262047851562501
15	255	0	9.45058984375
15	255	1	9.445605468750001
15	255	3	9.4398203125
15	255	7	9.4347001953125
15	255	15	9.424626953125001
15	255	31	9.403982421875002
15	255	63	9.363410156250001
15	255	127	9.285309570312501
15	255	255	9.1395361328125
31	0	0	1.6310839843750002
31	0	1	1.6650175781250003
31	0	3	1.7365478515625
31	0	7	1.8767880859375001
31	0	15	2.1560576171875003
31	0	31	2.7120146484375
31	0	63	3.8234531250000003
31	0	127	6.0441240234375
31	0	255	9.376562500000002
31	1	0	1.6678828125000003
31	1	1	1.703310546875
31	1	3	1.77420703125
31	1	7	1.9131533203125002
31	1	15	2.1920693359375
31	1	31	2.7485185546875
31	1	63	3.8609980468750003
31	1	127	6.082970703125
31	1	255	9.378275390625001
31	3	0	1.7393447265625004
31	3	1	1.7736445312500002
31	3	3	1.8448300781250002
31	3	7	1.98367578125
31	3	15	2.2625136718750003
31	3	31	2.8193798828125
31	3	63	3.932673828125
31	3	127	6.153721679687501
31	3	255	9.377700195312501
31	7	0	1.877935546875
31	7	1	1.914552734375
31	7	3	1.9849560546875
31	7	7	2.1248486328125002
31	7	15	2.4020126953125
31	7	31	2.95883203125
31	7	63	4.071005859375001
31	7	127	6.291062500000001
31	7	255	9.371464843750001
31	15	0	2.1612460937500004
31	15	1	2.1966464843750004
31	15	3	2.2650839843750004
31	15	7	2.4039873046875
31	15	15	2.6856552734375
31	15	31	3.2398330078125
31	15	63	4.351392578125
31	15	127	6.569980468750001
31	15	255	9.36292578125
31	31	0	2.7188964843750005
31	31	1	2.7556455078125
31	31	3	2.8244248046875002
31	31	7	2.96457421875
31	31	15	3.2437265625
31	31	31	3.799267578125
31	31	63	4.910808593750001
31	31	127	7.1288427734375
31	31	255	9.34740625
31	63	0	3.8389736328125004
31	63	1	3.8771357421875003
31	63	3	3.9473437500000004
31	63	7	4.0855302734375005
31	63	15	4.3634667968750005
31	63	31	4.917497070312501
31	63	63	6.025437500000001
31	63	127	8.24069921875
31	63	255	9.309866210937502
31	127	0	6.0733037109375
31	127	1	6.0739580078125
31	127	3	6.071076171875001
31	127	7	6.066405273437501
31	127	15	6.055685546875001
31	127	31	6.034316406250001
31	127	63	5.9931552734375
31	127	127	8.212218750000002
31	127	255	9.245988281250002
31	255	0	9.4303447265625
31	255	1	9.424862304687501
31	255	3	9.421486328125
31	255	7	9.415091796875
31	255	15	9.404801757812502
31	255	31	9.385830078125
31	255	63	9.3462958984375
31	255	127	9.26577734375
31	255	255	9.138134765625
63	0	0	2.7755283203125005
63	0	1	2.8137958984375
63	0	3	2.8835029296875003
63	0	7	3.0225166015625002
63	0	15	3.3015361328125
63	0	31	3.8572197265625
63	0	63	4.965449218750001
63	0	127	7.181864257812501
63	0	255	9.339194335937501
63	1	0	2.81275390625
63	1	1	2.8507900390625003
63	1	3	2.9204404296875
63	1	7	3.0596337890625
63	1	15	3.3385839843750005
63	1	31	3.8943193359375003
63	1	63	5.00273046875
63	1	127	7.216482421875
63	1	255	9.340690429687502
63	3	0	2.882265625
63	3	1	2.92062890625
63	3	3	2.9910498046875
63	3	7	3.1299345703125003
63	3	15	3.4085712890625004
63	3	31	3.9628789062500003
63	3	63	5.0738798828125
63	3	127	7.2891591796875
63	3	255	9.3394619140625
63	7	0	3.0224238281250004
63	7	1	3.0609306640625005
63	7	3	3.1301201171875004
63	7	7	3.2696923828125
63	7	15	3.5475175781250003
63	7	31	4.1032890625
63	7	63	5.21266796875
63	7	127	7.428003906250001
63	7	255	9.337250000000001
63	15	0	3.3032421875000004
63	15	1	3.3419042968750006
63	15	3	3.4115205078125
63	15	7	3.5510332031250003
63	15	15	3.8280166015625006
63	15	31	4.3835068359375
63	15	63	5.492833984375
63	15	127	7.709191406250001
63	15	255	9.329865234375001
63	31	0	3.8634912109375
63	31	1	3.9023828125
63	31	3	3.971644531250001
63	31	7	4.111000000000001
63	31	15	4.388380859375
63	31	31	4.9425947265625005
63	31	63	6.050896484375
63	31	127	8.2644013671875
63	31	255	9.310671875
63	63	0	4.9788974609375005
